product_id,units_sold
11308928.0,79.0
13470239.0,233.0
10575012.0,47.0
11725417.0,65.0
13837609.0,153.0
13225283.0,1.0
10982006.0,64.0
14233240.0,43.0
12459898.0,28.0
12457919.0,276.0
12941041.0,1114.0
12962009.0,3.0
12749935.0,35.0
13521223.0,53.0
11540389.0,147.0
10915543.0,59.0
11323798.0,251.0
13956412.0,1.0
13113805.0,111.0
12436438.0,2052.0
12657917.0,254.0
12918355.0,122.0
11253898.0,266.0
12870363.0,3.0
12459860.0,7.0
13116700.0,7.0
13120892.0,2.0
13120153.0,2.0
12873040.0,417.0
13758001.0,218.0
13121037.0,4.0
11058331.0,825.0
12918361.0,45.0
12918365.0,67.0
12918405.0,47.0
12435058.0,1.0
12949466.0,188.0
13110697.0,18.0
12168355.0,9.0
12749931.0,11.0
10530980.0,2235.0
14206943.0,5.0
13733910.0,20.0
12698471.0,64.0
12893424.0,70.0
12081398.0,160.0
13466964.0,3.0
13470225.0,47.0
12761567.0,7.0
13477704.0,224.0
13700316.0,173.0
12968643.0,153.0
13695732.0,125.0
13827847.0,20.0
13887450.0,4.0
